GENE	LINEAGE	CHR_query	Species	Amino acid length
BTF3	PTR	CM054447.2	PTR	163
C2G1P	PTR	CM054454.2	PTR	147
CCDC74B	PTR	CM054447.2	PTR	483
CDC14C	PTR	CM054440.2	PTR	455
CLEC18B	PTR	CM054452.2	PTR	456
DACT2	PTR	CM054455.2	PTR	629
DTX1	PTR	CM054440.2	PTR	477
DUX4C	PTR	CM068905.1	PTR	244
EIF4A3	PTR	CM054453.2	PTR	412
EIF4A3	PTR	CM054453.2	PTR	406
EIF5AL1	PTR	CM054442.2	PTR	155
F86B1	PTR	CM054442.2	PTR	297
FBW1B	PTR	CM054453.2	PTR	244
FCG3B	PTR	CM054434.2	PTR	292
FCG3B	PTR	CM054434.2	PTR	234
FCG3B	PTR	CM054434.2	PTR	341
FOH1B	PTR	CM054443.2	PTR	736
FOXD4L1	PTR	CM054447.2	PTR	461
FX4L1	PTR	CM054447.2	PTR	461
GGT2	PTR	CM054446.2	PTR	124
GGTLC2	PTR	CM068906.1	PTR	284
IF5A1	PTR	CM054442.2	PTR	155
IGHE	PTR	CM054449.2	PTR	473
KCMB3	PTR	CM068906.1	PTR	211
KRA41	PTR	CM054456.2	PTR	293
KVD28	PTR	CM054446.2	PTR	241
LRRF2	PTR	CM068905.1	PTR	674
MALR1	PTR	CM054439.2	PTR	297
MALR1	PTR	CM054440.2	PTR	108
MALR1	PTR	CM054440.2	PTR	185
MALR1	PTR	CM054440.2	PTR	227
MALR1	PTR	CM054441.2	PTR	108
MALR1	PTR	CM054441.2	PTR	166
MALR1	PTR	CM054441.2	PTR	134
MALR1	PTR	CM054442.2	PTR	108
MALR1	PTR	CM054442.2	PTR	208
MALR1	PTR	CM054443.2	PTR	258
MALR1	PTR	CM054444.2	PTR	196
MALR1	PTR	CM054444.2	PTR	185
MALR1	PTR	CM054444.2	PTR	208
MALR1	PTR	CM054445.2	PTR	108
MALR1	PTR	CM054446.2	PTR	108
MALR1	PTR	CM054446.2	PTR	266
MALR1	PTR	CM054447.2	PTR	233
MALR1	PTR	CM054448.2	PTR	134
MALR1	PTR	CM054448.2	PTR	220
MALR1	PTR	CM054452.2	PTR	185
MALR1	PTR	CM054452.2	PTR	297
MALR1	PTR	CM054452.2	PTR	108
MALR1	PTR	CM054453.2	PTR	233
MALR1	PTR	CM054453.2	PTR	389
MALR1	PTR	CM054454.2	PTR	108
MALR1	PTR	CM054455.2	PTR	108
MALR1	PTR	CM054455.2	PTR	134
MALR1	PTR	CM054455.2	PTR	200
MALR1	PTR	CM054456.2	PTR	202
MALR1	PTR	CM054457.2	PTR	134
MALR1	PTR	CM054458.2	PTR	134
MALR1	PTR	CM068905.1	PTR	297
MALR1	PTR	CM068905.1	PTR	185
MALR1	PTR	CM068905.1	PTR	134
MALR1	PTR	CM068906.1	PTR	227
MALR1	PTR	CM068906.1	PTR	266
MYLK2	PTR	CM068905.1	PTR	305
MYO5B	PTR	CM054445.2	PTR	311
MYO5B	PTR	CM054448.2	PTR	488
MYO5B	PTR	CM054448.2	PTR	256
MYO5B	PTR	CM054449.2	PTR	256
MYO5B	PTR	CM054450.2	PTR	289
MYO5B	PTR	CM054451.2	PTR	488
MYO5B	PTR	CM054451.2	PTR	256
MYO5B	PTR	CM054455.2	PTR	428
MYO5B	PTR	CM068906.1	PTR	256
NBPF11	PTR	CM054434.2	PTR	601
NBPFF	PTR	CM054434.2	PTR	1123
NBPFP	PTR	CM054434.2	PTR	658
NKG2C	PTR	CM054444.2	PTR	234
NOS2	PTR	CM054453.2	PTR	383
NOS2	PTR	CM054453.2	PTR	133
NPIPB8	PTR	CM054452.2	PTR	442
NTM2A	PTR	CM054442.2	PTR	665
NTM2G	PTR	CM054445.2	PTR	150
NUD15	PTR	CM054442.2	PTR	165
OR1B1	PTR	CM068905.1	PTR	210
OR4L1	PTR	CM054454.2	PTR	380
PA2G4	PTR	CM068905.1	PTR	488
PARK7	PTR	CM054457.2	PTR	190
PCH2	PTR	CM054434.2	PTR	490
PILRA	PTR	CM054440.2	PTR	231
PLA2G4B	PTR	CM054438.2	PTR	925
PLA2G4B	PTR	CM054439.2	PTR	299
PLA2G4B	PTR	CM054439.2	PTR	747
PLA2G4B	PTR	CM054444.2	PTR	
PLA2G4B	PTR	CM054446.2	PTR	1030
PLA2G4B	PTR	CM054447.2	PTR	1014
PLA2G4B	PTR	CM054455.2	PTR	
PLA2G4B	PTR	CM054457.2	PTR	299
PLA2G4B	PTR	CM068905.1	PTR	803
PLA2G4B	PTR	CM068906.1	PTR	1014
POTEB	PTR	CM054451.2	PTR	411
POTED	PTR	CM054448.2	PTR	585
POTEF	PTR	CM054449.2	PTR	738
POTEI	PTR	CM054449.2	PTR	738
PR20E	PTR	CM054448.2	PTR	222
PRAM2	PTR	CM054434.2	PTR	230
PRAM2	PTR	CM054434.2	PTR	474
PRAMEF13	PTR	CM054434.2	PTR	229
PRR20A	PTR	CM054448.2	PTR	221
PRR20A	PTR	CM054448.2	PTR	222
RAB42	PTR	CM054449.2	PTR	219
RDH10	PTR	CM054441.2	PTR	342
RL30	PTR	CM054439.2	PTR	126
RP1	PTR	CM054440.2	PTR	222
RTN3	PTR	CM054437.2	PTR	213
S29P2	PTR	CM054452.2	PTR	292
S29P2	PTR	CM054452.2	PTR	242
SAGE1	PTR	CM054457.2	PTR	921
SAM11	PTR	CM054440.2	PTR	861
SAM11	PTR	CM054455.2	PTR	948
SORD	PTR	CM054450.2	PTR	358
SP20H	PTR	CM054457.2	PTR	819
SPATA31A3	PTR	CM054445.2	PTR	1297
SPATA31D4	PTR	CM054445.2	PTR	1571
SPDYE3	PTR	CM054440.2	PTR	339
SPTC3	PTR	CM054445.2	PTR	221
SPTN4	PTR	CM054438.2	PTR	2162
SPTN4	PTR	CM054439.2	PTR	2022
SPTN4	PTR	CM054439.2	PTR	2212
SPTN4	PTR	CM054440.2	PTR	2270
SPTN4	PTR	CM054444.2	PTR	1988
SPTN4	PTR	CM054446.2	PTR	2269
SPTN4	PTR	CM054447.2	PTR	2337
SPTN4	PTR	CM054452.2	PTR	340
SPTN4	PTR	CM054452.2	PTR	303
SPTN4	PTR	CM054455.2	PTR	2135
SPTN4	PTR	CM054457.2	PTR	1981
SPTN4	PTR	CM068905.1	PTR	1348
SPTN4	PTR	CM068906.1	PTR	2365
SRSF7	PTR	CM054440.2	PTR	294
SRSF7	PTR	CM054443.2	PTR	280
SWAHC	PTR	CM054448.2	PTR	298
SWAHC	PTR	CM054449.2	PTR	153
SWAHC	PTR	CM054449.2	PTR	298
SWAHC	PTR	CM054450.2	PTR	305
SWAHC	PTR	CM054451.2	PTR	302
SWAHC	PTR	CM054451.2	PTR	298
SWAHC	PTR	CM054456.2	PTR	302
SWAHC	PTR	CM054458.2	PTR	302
SWAHC	PTR	CM068906.1	PTR	302
SWAHC	PTR	CM068906.1	PTR	298
SYT15	PTR	CM054442.2	PTR	792
T2R43	PTR	CM054444.2	PTR	310
TBA8	PTR	CM054447.2	PTR	435
TMX1	PTR	CM054445.2	PTR	232
TNFRSF10D	PTR	CM054441.2	PTR	416
TRAC	PTR	CM054440.2	PTR	112
TRI27	PTR	CM054454.2	PTR	590
TRI52	PTR	CM054441.2	PTR	293
TRI52	PTR	CM054442.2	PTR	294
TRI52	PTR	CM068905.1	PTR	293
TRIM52	PTR	CM054441.2	PTR	293
TRIM52	PTR	CM054442.2	PTR	294
TRIM52	PTR	CM068905.1	PTR	293
TUBA3D	PTR	CM054447.2	PTR	451
U633C	PTR	CM054445.2	PTR	92
U633C	PTR	CM054445.2	PTR	95
UB2R2	PTR	CM054434.2	PTR	239
UBIP1	PTR	CM054449.2	PTR	283
UDB10	PTR	CM054437.2	PTR	281
UDB10	PTR	CM054437.2	PTR	369
ULBP2	PTR	CM054439.2	PTR	211
ULBP2	PTR	CM054439.2	PTR	247
ZC3H11B	PTR	CM054434.2	PTR	805
ZN345	PTR	CM054454.2	PTR	594
ZN664	PTR	CM054434.2	PTR	262
AB17A	Pan	CM054434.2	PTR	253
AB17A	Pan	CM054438.2	PTR	311
AB17A	Pan	CM068906.1	PTR	309
ACAP1	Pan	CM054442.2	PTR	243
AN20B	Pan	CM054446.2	PTR	824
AN20B	Pan	CM054446.2	PTR	822
BRD4	Pan	CM054434.2	PTR	644
BRD4	Pan	CM054437.2	PTR	594
BRD4	Pan	CM068905.1	PTR	650
C1TM	Pan	CM054445.2	PTR	109
C1TM	Pan	CM054446.2	PTR	110
CASP	Pan	CM054440.2	PTR	352
CBWD1	Pan	CM054439.2	PTR	90
CCD92	Pan	CM054447.2	PTR	481
CHAP1	Pan	CM054446.2	PTR	386
CLN3	Pan	CM054452.2	PTR	460
CLN3	Pan	CM054452.2	PTR	441
CLN3	Pan	CM054452.2	PTR	490
CLN3	Pan	CM054452.2	PTR	385
COTL1	Pan	CM054453.2	PTR	140
DCR1C	Pan	CM054441.2	PTR	188
DDX11	Pan	CM054444.2	PTR	1000
DHB7	Pan	CM054442.2	PTR	342
DNJC9	Pan	CM054455.2	PTR	254
DTX2	Pan	CM054440.2	PTR	229
DTX2	Pan	CM054440.2	PTR	520
DTX2	Pan	CM054440.2	PTR	445
DTX2	Pan	CM054440.2	PTR	792
EFL1	Pan	CM054450.2	PTR	519
EIF3C	Pan	CM054452.2	PTR	914
EIF3C	Pan	CM054452.2	PTR	738
EIF3C	Pan	CM054452.2	PTR	407
EIF3CL	Pan	CM054452.2	PTR	914
EIF3CL	Pan	CM054452.2	PTR	738
F106A	Pan	CM054453.2	PTR	105
F157B	Pan	CM054434.2	PTR	97
F157B	Pan	CM054438.2	PTR	97
F157B	Pan	CM054451.2	PTR	97
F185A	Pan	CM054440.2	PTR	366
F90AP	Pan	CM054441.2	PTR	465
F90AP	Pan	CM054441.2	PTR	492
F90AP	Pan	CM054441.2	PTR	428
F90AP	Pan	CM054441.2	PTR	484
FAHD1	Pan	CM054452.2	PTR	248
GGT6	Pan	CM068906.1	PTR	304
GGT6	Pan	CM068906.1	PTR	284
GLO2	Pan	CM054452.2	PTR	309
GLPK	Pan	CM054437.2	PTR	560
GLPK	Pan	CM054457.2	PTR	525
GLRX3	Pan	CM054434.2	PTR	296
GLRX3	Pan	CM054434.2	PTR	290
GRAP	Pan	CM054434.2	PTR	152
HIG1A	Pan	CM054443.2	PTR	127
HMGN2	Pan	CM054438.2	PTR	134
HMGN2	Pan	CM054449.2	PTR	91
HMGN2	Pan	CM054450.2	PTR	99
HYAS2	Pan	CM054440.2	PTR	553
ICAM2	Pan	CM054453.2	PTR	463
IF4A3	Pan	CM054453.2	PTR	412
IF4A3	Pan	CM054453.2	PTR	411
INT4	Pan	CM054440.2	PTR	163
INT4	Pan	CM054440.2	PTR	437
INT4	Pan	CM054440.2	PTR	700
KANK4	Pan	CM054455.2	PTR	1366
KCTD9	Pan	CM054438.2	PTR	219
KCTD9	Pan	CM054453.2	PTR	276
KLF7	Pan	CM054434.2	PTR	458
LAT1N	Pan	CM054452.2	PTR	478
LAT1N	Pan	CM054452.2	PTR	307
MAPKBP1	Pan	CM054450.2	PTR	1549
MEIG1	Pan	CM054442.2	PTR	88
METTL2B	Pan	CM054440.2	PTR	379
MF14C	Pan	CM054445.2	PTR	186
NBPF9	Pan	CM054434.2	PTR	624
NPB15	Pan	CM054452.2	PTR	396
NPB15	Pan	CM054452.2	PTR	496
NPB15	Pan	CM054452.2	PTR	616
NPB15	Pan	CM054452.2	PTR	312
NPB15	Pan	CM054452.2	PTR	332
NPB15	Pan	CM054452.2	PTR	623
NPB15	Pan	CM054452.2	PTR	579
NPIB2	Pan	CM054452.2	PTR	515
NPIB6	Pan	CM054453.2	PTR	372
NPIB8	Pan	CM054452.2	PTR	522
NPIB8	Pan	CM054452.2	PTR	315
NPIB8	Pan	CM054452.2	PTR	442
NPIB8	Pan	CM054452.2	PTR	558
NPIB8	Pan	CM054452.2	PTR	268
NPIB8	Pan	CM054452.2	PTR	667
NPIB8	Pan	CM054452.2	PTR	713
NPIB9	Pan	CM054451.2	PTR	281
OR6B2	Pan	CM054447.2	PTR	388
OTOAN	Pan	CM054452.2	PTR	362
OTOAN	Pan	CM054452.2	PTR	368
OTOAN	Pan	CM054452.2	PTR	458
POTEM	Pan	CM054449.2	PTR	452
PPP2R3B	Pan	CM054458.2	PTR	643
PRDM7	Pan	CM054439.2	PTR	363
PRDM7	Pan	CM054445.2	PTR	357
PRDM7	Pan	CM054447.2	PTR	399
PRDM7	Pan	CM054457.2	PTR	139
RBMS3	Pan	CM054444.2	PTR	405
RGL4	Pan	CM068906.1	PTR	587
RGPD5	Pan	CM054446.2	PTR	1800
RWDD3	Pan	CM054456.2	PTR	189
S10AB	Pan	CM054440.2	PTR	753
S10AB	Pan	CM054444.2	PTR	105
S31A1	Pan	CM054445.2	PTR	1297
S31D1	Pan	CM054445.2	PTR	1571
SEC22B	Pan	CM054434.2	PTR	215
SH2B2	Pan	CM054440.2	PTR	318
SHISAL1	Pan	CM068906.1	PTR	200
SL9A1	Pan	CM054452.2	PTR	355
SL9A1	Pan	CM054452.2	PTR	308
SO1B3	Pan	CM054444.2	PTR	703
SPD12	Pan	CM054440.2	PTR	266
SPD21	Pan	CM054440.2	PTR	379
SPD21	Pan	CM054440.2	PTR	377
SPD21	Pan	CM054440.2	PTR	386
SPDE1	Pan	CM054440.2	PTR	402
SPDE1	Pan	CM054440.2	PTR	403
SPDYE8	Pan	CM054440.2	PTR	266
SPI2B	Pan	CM054457.2	PTR	259
SPSY	Pan	CM054440.2	PTR	367
T53G5	Pan	CM054452.2	PTR	122
TBCD	Pan	CM054434.2	PTR	371
TBCD	Pan	CM054448.2	PTR	230
TEKT1	Pan	CM054449.2	PTR	153
TLK2	Pan	CM054440.2	PTR	275
TLK2	Pan	CM054453.2	PTR	751
TMEM191C	Pan	CM068906.1	PTR	283
TPTE2	Pan	CM054448.2	PTR	151
TPTE2	Pan	CM054448.2	PTR	162
TPTE2	Pan	CM054448.2	PTR	289
TPTE2	Pan	CM054448.2	PTR	105
TRI42	Pan	CM054453.2	PTR	349
TUBA3E	Pan	CM054447.2	PTR	435
TXNIP	Pan	CM054434.2	PTR	296
TXNIP	Pan	CM054434.2	PTR	290
UPK3B	Pan	CM054440.2	PTR	300
UPK3B	Pan	CM054440.2	PTR	355
UPK3B	Pan	CM054440.2	PTR	264
YF016	Pan	CM054439.2	PTR	417
ZBT46	Pan	CM054437.2	PTR	430
ZDH11	Pan	CM054434.2	PTR	488
ZFAT	Pan	CM054454.2	PTR	781
ZN687	Pan	CM054437.2	PTR	906
ZN687	Pan	CM054446.2	PTR	924
ZN687	Pan	CM054447.2	PTR	1302
ZNG1A	Pan	CM054439.2	PTR	90
ZNG1A	Pan	CM054448.2	PTR	109
AC242842.3	SSY	CM054527.2	SSY	504
AEN	SSY	CM054533.2	SSY	355
AN30A	SSY	CM054528.2	SSY	167
ANO8	SSY	CM054533.2	SSY	402
ANXA2R	SSY	CM054524.2	SSY	194
APOBEC3H	SSY	CM054526.2	SSY	295
ARF1	SSY	CM054528.2	SSY	
ARG28	SSY	CM054530.2	SSY	774
ATD3B	SSY	CM054530.2	SSY	184
C1D	SSY	CM054512.2	SSY	142
C1D	SSY	CM054521.2	SSY	141
CAPN8	SSY	CM054520.2	SSY	625
CCL25	SSY	CM054517.2	SSY	99
CLD10	SSY	CM054523.2	SSY	284
CLD10	SSY	CM054523.2	SSY	197
COMMD1	SSY	CM054522.2	SSY	184
COMMD4	SSY	CM054513.2	SSY	207
COX5A	SSY	CM054513.2	SSY	188
CSAG2	SSY	CM054533.2	SSY	128
CSF2	SSY	CM054533.2	SSY	426
CSF2	SSY	CM054533.2	SSY	401
CSF2	SSY	CM054534.2	SSY	413
DUS11	SSY	CM054522.2	SSY	378
DUS11	SSY	CM054522.2	SSY	205
DUSP11	SSY	CM054522.2	SSY	378
DUSP11	SSY	CM054522.2	SSY	215
ENK19	SSY	CM054509.2	SSY	107
ENK8	SSY	CM054509.2	SSY	150
ENK8	SSY	CM054521.2	SSY	150
ENK8	SSY	CM054521.2	SSY	156
ESX1	SSY	CM054533.2	SSY	133
F10A1	SSY	CM054516.2	SSY	169
FA76B	SSY	CM054522.2	SSY	283
FACD2	SSY	CM054529.2	SSY	118
FDXR	SSY	CM054522.2	SSY	533
FRG2C	SSY	CM054513.2	SSY	283
FRG2C	SSY	CM054516.2	SSY	121
FWCH1	SSY	CM054533.2	SSY	582
GBA3	SSY	CM054524.2	SSY	470
GG6L9	SSY	CM054513.2	SSY	311
GG6L9	SSY	CM054513.2	SSY	505
HSP74	SSY	CM054531.2	SSY	642
I11RA	SSY	CM054517.2	SSY	472
IGLC1	SSY	CM054526.2	SSY	234
IT70A	SSY	CM054516.2	SSY	666
JADE3	SSY	CM054522.2	SSY	94
K1C10	SSY	CM054528.2	SSY	523
K1C14	SSY	CM054528.2	SSY	113
KCNQ5	SSY	CM054522.2	SSY	91
KI2S2	SSY	CM054521.2	SSY	410
KIAA0040	SSY	CM054527.2	SSY	100
LANC1	SSY	CM054533.2	SSY	181
LDH6B	SSY	CM054510.2	SSY	377
LMAN1	SSY	CM054530.2	SSY	1026
LMLN	SSY	CM054513.2	SSY	221
MKRN1	SSY	CM054526.2	SSY	223
MRPS23	SSY	CM054528.2	SSY	192
MRT4	SSY	CM054530.2	SSY	273
MRT4	SSY	CM054530.2	SSY	193
MSTRG.3142	SSY	CM054522.2	SSY	1383
MSTRG.359	SSY	CM054530.2	SSY	856
MT21A	SSY	CM054510.2	SSY	184
MUC3A	SSY	CM054533.2	SSY	407
MYP2	SSY	CM054528.2	SSY	140
NENF	SSY	CM054521.2	SSY	170
NXF1	SSY	CM054533.2	SSY	652
OPA1	SSY	CM054525.2	SSY	1017
OPA1	SSY	CM054525.2	SSY	1000
P2RY6	SSY	CM054534.2	SSY	377
PA2GA	SSY	CM054526.2	SSY	159
PCNP	SSY	CM054521.2	SSY	140
PDPK1	SSY	CM054522.2	SSY	425
PDPK1	SSY	CM054522.2	SSY	534
PIN1	SSY	CM054532.2	SSY	158
PKN2	SSY	CM054509.2	SSY	935
PKN2	SSY	CM054509.2	SSY	936
PKN2	SSY	CM054512.2	SSY	585
PKN2	SSY	CM054512.2	SSY	920
PKN2	SSY	CM054512.2	SSY	938
PKN2	SSY	CM054512.2	SSY	782
PKN2	SSY	CM054512.2	SSY	714
PKN2	SSY	CM054523.2	SSY	938
PKN2	SSY	CM054523.2	SSY	1299
PKN2	SSY	CM054523.2	SSY	985
PKN2	SSY	CM054523.2	SSY	785
PKN2	SSY	CM054523.2	SSY	777
PKN2	SSY	CM054523.2	SSY	1093
PKN2	SSY	CM054523.2	SSY	936
PKN2	SSY	CM054524.2	SSY	1095
PKN2	SSY	CM054532.2	SSY	962
PRPF8	SSY	CM054528.2	SSY	311
PSG7	SSY	CM054525.2	SSY	435
PTCD3	SSY	CM054522.2	SSY	550
PTN3	SSY	CM054516.2	SSY	278
RARS1	SSY	CM054515.2	SSY	650
RHOA	SSY	CM054510.2	SSY	196
RIGI	SSY	CM054511.2	SSY	621
RIMB1	SSY	CM054528.2	SSY	188
RIMB1	SSY	CM054528.2	SSY	237
RL38	SSY	CM054522.2	SSY	70
RL39	SSY	CM054528.2	SSY	70
RN216	SSY	CM054517.2	SSY	105
RN216	SSY	CM054517.2	SSY	924
RP2	SSY	CM054522.2	SSY	351
RPA1	SSY	CM054522.2	SSY	151
RPA1	SSY	CM054522.2	SSY	1383
RPA1	SSY	CM054522.2	SSY	1665
RPL38	SSY	CM054522.2	SSY	70
RS5	SSY	CM054511.2	SSY	304
RS6	SSY	CM054529.2	SSY	219
RSAD1	SSY	CM054528.2	SSY	464
RSAD1	SSY	CM054528.2	SSY	596
RSAD1	SSY	CM054528.2	SSY	433
RT23	SSY	CM054528.2	SSY	192
RUVB1	SSY	CM054529.2	SSY	244
RUVB1	SSY	CM054529.2	SSY	199
RUVB1	SSY	CM054534.2	SSY	199
SAV1	SSY	CM054528.2	SSY	195
SBNO2	SSY	CM054516.2	SSY	163
SGSM2	SSY	CM054522.2	SSY	157
SHCBP1	SSY	CM054519.2	SSY	635
SKP2	SSY	CM054524.2	SSY	223
SPATA20	SSY	CM054528.2	SSY	838
STABP	SSY	CM054522.2	SSY	345
SYRC	SSY	CM054515.2	SSY	650
TAF13	SSY	CM054533.2	SSY	149
TDGF1	SSY	CM054518.2	SSY	189
TF2H4	SSY	CM054513.2	SSY	118
TF2H4	SSY	CM054513.2	SSY	130
TF2H4	SSY	CM054513.2	SSY	113
TF2H4	SSY	CM054513.2	SSY	95
TF2H4	SSY	CM054513.2	SSY	154
TF2H4	SSY	CM054529.2	SSY	123
TF2H4	SSY	CM054531.2	SSY	130
TF2H4	SSY	CM054531.2	SSY	200
TF2H4	SSY	CM054534.2	SSY	150
THEM5	SSY	CM054516.2	SSY	438
THEM5	SSY	CM054516.2	SSY	420
TNN	SSY	CM054527.2	SSY	1300
TPP2	SSY	CM054523.2	SSY	985
TR49D	SSY	CM054514.2	SSY	453
TR49D	SSY	CM054514.2	SSY	463
TR49D	SSY	CM054514.2	SSY	386
TR49D	SSY	CM054526.2	SSY	459
TR64B	SSY	CM054514.2	SSY	450
TTYH2	SSY	CM054522.2	SSY	137
UB2D3	SSY	CM054519.2	SSY	148
UCHL3	SSY	CM054517.2	SSY	1028
UCHL3	SSY	CM054522.2	SSY	490
UD3A2	SSY	CM054524.2	SSY	373
UD3A2	SSY	CM054524.2	SSY	490
UHRF1	SSY	CM054521.2	SSY	802
UN45B	SSY	CM054528.2	SSY	215
UQCC3	SSY	CM054521.2	SSY	71
VPS35	SSY	CM054519.2	SSY	662
VPS35	SSY	CM054519.2	SSY	797
XPO1	SSY	CM054522.2	SSY	1027
XRP2	SSY	CM054522.2	SSY	351
ZN268	SSY	CM054521.2	SSY	491
ZN268	SSY	CM054521.2	SSY	93
ZN593	SSY	CM054519.2	SSY	102
ZNF257	SSY	CM054521.2	SSY	913
ZXDB	SSY	CM054533.2	SSY	800
OR4F21	HSA	chr1	HSA	312
CDK11A	HSA	chr1	HSA	803
SLC35E2A	HSA	chr1	HSA	270
NBPF1	HSA	chr1	HSA	1558
PNRC2	HSA	chr1	HSA	197
RSRP1	HSA	chr1	HSA	545
BMP8A	HSA	chr1	HSA	403
ITGB3BP	HSA	chr1	HSA	630
AMY2A	HSA	chr1	HSA	512
AMY1A	HSA	chr1	HSA	512
AMY1B	HSA	chr1	HSA	512
NBPF4	HSA	chr1	HSA	668
NOTCH2NLR	HSA	chr1	HSA	1222
NBPF26	HSA	chr1	HSA	1222
PPIAL4A	HSA	chr1	HSA	165
FCGR1B	HSA	chr1	HSA	319
FAM72B	HSA	chr1	HSA	200
SRGAP2C	HSA	chr1	HSA	460
H3-2	HSA	chr1	HSA	137
FAM72C	HSA	chr1	HSA	150
PPIAL4E	HSA	chr1	HSA	165
SRGAP2B	HSA	chr1	HSA	460
FAM72D	HSA	chr1	HSA	150
PPIAL4D	HSA	chr1	HSA	165
NBPF20	HSA	chr1	HSA	4207
NBPF10	HSA	chr1	HSA	2553
NOTCH2NLA	HSA	chr1	HSA	256
PDE4DIP	HSA	chr1	HSA	3096
NUDT4B	HSA	chr1	HSA	182
MSTRG.359	HSA	chr1	HSA	250
NOTCH2NLB	HSA	chr1	HSA	250
PPIAL4G	HSA	chr1	HSA	165
GPR89B	HSA	chr1	HSA	481
PPIAL4H	HSA	chr1	HSA	165
NOTCH2NLC	HSA	chr1	HSA	295
AC242842.3	HSA	chr1	HSA	3601
NBPF19	HSA	chr1	HSA	3601
AQP10	HSA	chr1	HSA	331
FCGR3B	HSA	chr1	HSA	234
MSTRG.596	HSA	chr1	HSA	1701
OR2T33	HSA	chr1	HSA	321
OR2T29	HSA	chr1	HSA	316
OR2T11	HSA	chr1	HSA	317
SYT15	HSA	chr10	HSA	560
ANXA8	HSA	chr10	HSA	381
FAM25G	HSA	chr10	HSA	90
AGAP9	HSA	chr10	HSA	659
FO681492.1	HSA	chr10	HSA	560
GPRIN2	HSA	chr10	HSA	462
NPY4R2	HSA	chr10	HSA	376
FRMPD2	HSA	chr10	HSA	1420
TIMM23B-AGAP6	HSA	chr10	HSA	687
AGAP6	HSA	chr10	HSA	687
CYP2C18	HSA	chr10	HSA	335
AL583836.1	HSA	chr10	HSA	493
OR4F4	HSA	chr11	HSA	324
BET1L	HSA	chr11	HSA	256
SAA2-SAA4	HSA	chr11	HSA	209
SAA2	HSA	chr11	HSA	209
MRGPRX1	HSA	chr11	HSA	323
PGA3	HSA	chr11	HSA	453
IQSEC3	HSA	chr12	HSA	1208
BCL2L14	HSA	chr12	HSA	1464
OR11H12	HSA	chr14	HSA	327
OR4N2	HSA	chr14	HSA	314
OR4Q3	HSA	chr14	HSA	322
OR4M1	HSA	chr14	HSA	314
RNASE3	HSA	chr14	HSA	161
DHRS4L2	HSA	chr14	HSA	293
ACOT1	HSA	chr14	HSA	422
LINC02203	HSA	chr15	HSA	317
AC134980.3	HSA	chr15	HSA	317
OR4M2	HSA	chr15	HSA	314
OR4N4	HSA	chr15	HSA	317
GOLGA6L22	HSA	chr15	HSA	861
GOLGA6L1	HSA	chr15	HSA	683
GOLGA6L1	HSA	chr15	HSA	675
GOLGA8S	HSA	chr15	HSA	626
GOLGA8F	HSA	chr15	HSA	637
GOLGA8G	HSA	chr15	HSA	649
GOLGA8T	HSA	chr15	HSA	632
FAM7A	HSA	chr15	HSA	413
GOLGA8H	HSA	chr15	HSA	633
ARHGAP11B	HSA	chr15	HSA	268
AC091057.6	HSA	chr15	HSA	268
GOLGA8K	HSA	chr15	HSA	632
GOLGA8O	HSA	chr15	HSA	636
GOLGA8N	HSA	chr15	HSA	636
MSTRG.1863	HSA	chr15	HSA	690
NANOGP8	HSA	chr15	HSA	306
DPH6	HSA	chr15	HSA	344
PPIP5K1	HSA	chr15	HSA	1598
GOLGA6B	HSA	chr15	HSA	694
GOLGA6A	HSA	chr15	HSA	694
GOLGA6C	HSA	chr15	HSA	694
GOLGA6L4	HSA	chr15	HSA	582
OR4F4	HSA	chr15	HSA	324
HBZ	HSA	chr16	HSA	143
PDPK1	HSA	chr16	HSA	633
PLA2G10	HSA	chr16	HSA	178
ABCC6	HSA	chr16	HSA	1544
AC138969.1	HSA	chr16	HSA	474
MSTRG.2109	HSA	chr16	HSA	1326
BOLA2	HSA	chr16	HSA	154
BOLA2B	HSA	chr16	HSA	154
BOLA2B	HSA	chr16	HSA	276
SLX1B	HSA	chr16	HSA	276
TP53TG3C	HSA	chr16	HSA	161
TP53TG3F	HSA	chr16	HSA	148
DUSP22	HSA	chr16	HSA	226
CLEC18A	HSA	chr16	HSA	456
PDPR	HSA	chr16	HSA	913
HYDIN	HSA	chr16	HSA	5251
CLEC18B	HSA	chr16	HSA	456
BANP	HSA	chr16	HSA	581
PRDM7	HSA	chr16	HSA	508
SCGB1C2	HSA	chr17	HSA	96
AC098850.3	HSA	chr17	HSA	1426
LGALS9C	HSA	chr17	HSA	383
TBC1D28	HSA	chr17	HSA	211
FOXO3B	HSA	chr17	HSA	364
TBC1D3I	HSA	chr17	HSA	549
TBC1D3G	HSA	chr17	HSA	550
TBC1D3H	HSA	chr17	HSA	550
CCL4L2	HSA	chr17	HSA	141
TBC1D3B	HSA	chr17	HSA	613
TBC1D3K	HSA	chr17	HSA	550
TBC1D3D	HSA	chr17	HSA	550
TBC1D3E	HSA	chr17	HSA	550
PLEKHM1	HSA	chr17	HSA	1070
ARL17B	HSA	chr17	HSA	1701
LRRC37A	HSA	chr17	HSA	1701
AC005670.2	HSA	chr17	HSA	233
LRRC37A3	HSA	chr17	HSA	1681
ANKRD30B	HSA	chr18	HSA	1427
OR4F17	HSA	chr19	HSA	327
OR10H5	HSA	chr19	HSA	316
