GENE	GENE_ID	CHR	LINEAGE	CONSEQUENCE	GENE_TYPE
LINC00595	ENSG00000230417	chr10	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
ZMIZ1-AS1	ENSG00000224596	chr10	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
SFTPD	ENSG00000133661	chr10	Marmoset	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
LIPJ	ENSG00000204022	chr10	Marmoset	splice_acceptor_variant&splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
LIPJ	ENSG00000204022	chr10	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
KIF20B	ENSG00000138182	chr10	Marmoset	stop_gained&frameshift_variant	protein_coding
RNU6-271P	ENSG00000200728	chr10	Marmoset	transcript_ablation	snRNA
MRPL43	ENSG00000055950	chr10	Marmoset	splice_donor_variant&3_prime_UTR_variant&intron_variant	protein_coding
LINC01435	ENSG00000229981	chr10	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
RNU5B-6P	ENSG00000252574	chr10	Marmoset	transcript_ablation	snRNA
AL137025.1	ENSG00000228484	chr10	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
OR56A3	ENSG00000184478	chr11	Marmoset	splice_acceptor_variant&splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
AC044810.3	ENSG00000271758	chr11	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02682	ENSG00000254661	chr11	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
METTL15	ENSG00000169519	chr11	Marmoset	splice_acceptor_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	nonsense_mediated_decay
AC090791.1	ENSG00000254526	chr11	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL136126.1	ENSG00000241255	chr11	Marmoset	transcript_ablation	processed_pseudogene
SLC1A2	ENSG00000110436	chr11	Marmoset	splice_acceptor_variant&5_prime_UTR_variant&intron_variant	protein_coding
AC044839.1	ENSG00000254519	chr11	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
TPCN2	ENSG00000162341	chr11	Marmoset	stop_gained&inframe_insertion	protein_coding
MYEOV	ENSG00000172927	chr11	Marmoset	stop_gained&frameshift_variant	protein_coding
MYO7A	ENSG00000137474	chr11	Marmoset	splice_donor_variant&intron_variant	protein_coding
RNU6-1135P	ENSG00000223015	chr11	Marmoset	transcript_ablation	snRNA
CEP295	ENSG00000166004	chr11	Marmoset	inframe_deletion	protein_coding
ST13P11	ENSG00000213368	chr11	Marmoset	transcript_ablation	processed_pseudogene
CEP57	ENSG00000166037	chr11	Marmoset	splice_donor_variant&coding_sequence_variant&5_prime_UTR_variant&intron_variant	protein_coding
AP001485.1	ENSG00000270449	chr11	Marmoset	transcript_ablation	processed_pseudogene
AP003173.1	ENSG00000287802	chr11	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
C11orf65	ENSG00000166323	chr11	Marmoset	splice_acceptor_variant&3_prime_UTR_variant&intron_variant	protein_coding
AP002518.1	ENSG00000256195	chr11	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
CCDC153	ENSG00000248712	chr11	Marmoset	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
LINC02697	ENSG00000255327	chr11	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
WNT5B	ENSG00000111186	chr12	Marmoset	stop_gained&inframe_insertion	protein_coding
AC005865.1	ENSG00000250770	chr12	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	processed_transcript
PARP11	ENSG00000111224	chr12	Marmoset	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
AKAP3	ENSG00000111254	chr12	Marmoset	stop_gained&inframe_insertion	protein_coding
KLRC1	ENSG00000134545	chr12	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&3_prime_UTR_variant&intron_variant	protein_coding
LINC01252	ENSG00000247157	chr12	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
PSMC1P8	ENSG00000256896	chr12	Marmoset	transcript_ablation	processed_pseudogene
SMCO2	ENSG00000165935	chr12	Marmoset	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
OR10AD1	ENSG00000172640	chr12	Marmoset	inframe_insertion	protein_coding
AC090629.1	ENSG00000286402	chr12	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC090023.2	ENSG00000256915	chr12	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC025575.1	ENSG00000257454	chr12	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
TRHDE-AS1	ENSG00000236333	chr12	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LNCOG	ENSG00000257219	chr12	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC128707.1	ENSG00000258084	chr12	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02404	ENSG00000257893	chr12	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
FAM71C	ENSG00000180219	chr12	Marmoset	stop_gained&frameshift_variant	protein_coding
RFX4	ENSG00000111783	chr12	Marmoset	frameshift_variant	protein_coding
C12orf76	ENSG00000174456	chr12	Marmoset	stop_gained&frameshift_variant	protein_coding
NAA25	ENSG00000111300	chr12	Marmoset	stop_gained&frameshift_variant	protein_coding
ZNF664	ENSG00000179195	chr12	Marmoset	splice_acceptor_variant&splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
ZNF664	ENSG00000179195	chr12	Marmoset	inframe_deletion	protein_coding
LINC02405	ENSG00000249345	chr12	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC073913.1	ENSG00000256496	chr12	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	unprocessed_pseudogene
PARP4P2	ENSG00000224976	chr13	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	unprocessed_pseudogene
NBEA	ENSG00000172915	chr13	Marmoset	stop_gained&frameshift_variant	protein_coding
KBTBD7	ENSG00000120696	chr13	Marmoset	inframe_insertion	protein_coding
LINC02341	ENSG00000283554	chr13	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
EPSTI1	ENSG00000133106	chr13	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
RB1-DT	ENSG00000231473	chr13	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
RNASEH2B-AS1	ENSG00000233672	chr13	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL590027.1	ENSG00000286820	chr13	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL445264.1	ENSG00000276841	chr13	Marmoset	transcript_ablation	unprocessed_pseudogene
MIR4500HG	ENSG00000228824	chr13	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
CCDC168	ENSG00000175820	chr13	Marmoset	inframe_deletion	protein_coding
LINC00368	ENSG00000225870	chr13	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01070	ENSG00000260102	chr13	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
ATP11A	ENSG00000068650	chr13	Marmoset	stop_gained&frameshift_variant	protein_coding
MCF2L	ENSG00000126217	chr13	Marmoset	stop_gained&inframe_insertion&splice_region_variant	protein_coding
PTCD2P1	ENSG00000258456	chr14	Marmoset	transcript_ablation	processed_pseudogene
NUTF2P2	ENSG00000258300	chr14	Marmoset	transcript_ablation	processed_pseudogene
PTCSC3	ENSG00000259104	chr14	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL355835.1	ENSG00000259072	chr14	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
FSCB	ENSG00000189139	chr14	Marmoset	stop_gained&protein_altering_variant	protein_coding
FSCB	ENSG00000189139	chr14	Marmoset	stop_gained&frameshift_variant	protein_coding
LINC00648	ENSG00000259129	chr14	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL133485.3	ENSG00000285747	chr14	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL118557.1	ENSG00000258440	chr14	Marmoset	transcript_ablation	processed_pseudogene
AL121579.1	ENSG00000258519	chr14	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
PSMA3-AS1	ENSG00000257621	chr14	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01500	ENSG00000258583	chr14	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL137191.1	ENSG00000259093	chr14	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
PPP1R36	ENSG00000165807	chr14	Marmoset	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
ADAM20P1	ENSG00000259158	chr14	Marmoset	transcript_ablation	transcribed_unprocessed_pseudogene
LINC02308	ENSG00000258675	chr14	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
TRIP11	ENSG00000100815	chr14	Marmoset	stop_gained&frameshift_variant	protein_coding
AL132711.1	ENSG00000258717	chr14	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant	lncRNA
ASPG	ENSG00000166183	chr14	Marmoset	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
RAD51	ENSG00000051180	chr15	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
LINC01491	ENSG00000259572	chr15	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC021752.1	ENSG00000273674	chr15	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
POLR2M	ENSG00000255529	chr15	Marmoset	splice_acceptor_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	nonsense_mediated_decay
AC104574.2	ENSG00000259616	chr15	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC02349	ENSG00000259284	chr15	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
GOLGA2P11	ENSG00000260062	chr15	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	transcribed_unprocessed_pseudogene
C15orf39	ENSG00000167173	chr15	Marmoset	inframe_deletion	protein_coding
AGBL1	ENSG00000273540	chr15	Marmoset	splice_acceptor_variant&coding_sequence_variant&3_prime_UTR_variant&intron_variant	protein_coding
AC112693.2	ENSG00000258971	chr15	Marmoset	transcript_ablation	processed_pseudogene
NR2F2-AS1	ENSG00000247809	chr15	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
SPATA8	ENSG00000185594	chr15	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00923	ENSG00000251209	chr15	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC015712.6	ENSG00000272808	chr15	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
METRN	ENSG00000103260	chr16	Marmoset	splice_acceptor_variant&coding_sequence_variant&intron_variant	protein_coding
METRN	ENSG00000103260	chr16	Marmoset	splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
C16orf89	ENSG00000153446	chr16	Marmoset	inframe_deletion	protein_coding
TMC5	ENSG00000103534	chr16	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
TMEM159	ENSG00000011638	chr16	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
AC009158.1	ENSG00000231876	chr16	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
ITGAD	ENSG00000156886	chr16	Marmoset	frameshift_variant	protein_coding
ANKRD26P1	ENSG00000261239	chr16	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_transcript
C16orf87	ENSG00000155330	chr16	Marmoset	splice_acceptor_variant&coding_sequence_variant&3_prime_UTR_variant&intron_variant	protein_coding
ABCC12	ENSG00000140798	chr16	Marmoset	splice_acceptor_variant&coding_sequence_variant&intron_variant	protein_coding
KIFC3	ENSG00000140859	chr16	Marmoset	splice_acceptor_variant&splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
AC092125.2	ENSG00000286653	chr16	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
UBE2FP2	ENSG00000261199	chr16	Marmoset	transcript_ablation	processed_pseudogene
AC093536.1	ENSG00000260668	chr16	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
CDH11	ENSG00000140937	chr16	Marmoset	stop_gained&frameshift_variant	protein_coding
CMTM2	ENSG00000140932	chr16	Marmoset	inframe_insertion	protein_coding
MAFTRR	ENSG00000261390	chr16	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
USP10	ENSG00000103194	chr16	Marmoset	splice_acceptor_variant&5_prime_UTR_variant&intron_variant	protein_coding
AIPL1	ENSG00000129221	chr17	Marmoset	inframe_deletion	protein_coding
RPL23AP73	ENSG00000244283	chr17	Marmoset	transcript_ablation	processed_pseudogene
MYHAS	ENSG00000272975	chr17	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC005303.1	ENSG00000273098	chr17	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
SPECC1P1	ENSG00000227790	chr17	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	transcribed_unprocessed_pseudogene
LINC01992	ENSG00000260019	chr17	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
GPR179	ENSG00000277399	chr17	Marmoset	inframe_deletion	protein_coding
KRTAP1-5	ENSG00000221852	chr17	Marmoset	inframe_deletion	protein_coding
KRTAP1-1	ENSG00000188581	chr17	Marmoset	inframe_deletion	protein_coding
SPATA32	ENSG00000184361	chr17	Marmoset	splice_acceptor_variant&splice_donor_variant&stop_lost&3_prime_UTR_variant&intron_variant	protein_coding
ABCA9	ENSG00000154258	chr17	Marmoset	stop_gained&frameshift_variant	protein_coding
ABCA9	ENSG00000154258	chr17	Marmoset	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
CD300LF	ENSG00000186074	chr17	Marmoset	splice_acceptor_variant&5_prime_UTR_variant&intron_variant	protein_coding
QRICH2	ENSG00000129646	chr17	Marmoset	inframe_insertion	protein_coding
AC016168.5	ENSG00000287836	chr17	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
CANT1	ENSG00000171302	chr17	Marmoset	splice_acceptor_variant&5_prime_UTR_variant&intron_variant	protein_coding
AC127496.2	ENSG00000262098	chr17	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
EPB41L3	ENSG00000082397	chr18	Marmoset	splice_acceptor_variant&splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
LINC01387	ENSG00000265944	chr18	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01444	ENSG00000264301	chr18	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC090912.2	ENSG00000266850	chr18	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC007922.5	ENSG00000287611	chr18	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
NPM1P2	ENSG00000266227	chr18	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
AC118757.1	ENSG00000267627	chr18	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MIR924HG	ENSG00000267374	chr18	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
STARD6	ENSG00000174448	chr18	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
MIR122HG	ENSG00000267391	chr18	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC022655.1	ENSG00000263594	chr18	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01898	ENSG00000261194	chr18	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC090360.1	ENSG00000267127	chr18	Marmoset	splice_acceptor_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	nonsense_mediated_decay
ADNP2	ENSG00000101544	chr18	Marmoset	inframe_insertion	protein_coding
EFNA2	ENSG00000099617	chr19	Marmoset	frameshift_variant	protein_coding
FZR1	ENSG00000105325	chr19	Marmoset	splice_acceptor_variant&5_prime_UTR_variant&intron_variant	protein_coding
ZNF559	ENSG00000188321	chr19	Marmoset	stop_gained&frameshift_variant	protein_coding
ZNF20	ENSG00000132010	chr19	Marmoset	stop_gained&inframe_insertion	protein_coding
AC005381.1	ENSG00000267243	chr19	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC008507.5	ENSG00000288072	chr19	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
ZFP14	ENSG00000142065	chr19	Marmoset	inframe_deletion	protein_coding
ZNF573	ENSG00000189144	chr19	Marmoset	frameshift_variant	protein_coding
PLEKHG2	ENSG00000090924	chr19	Marmoset	inframe_deletion	protein_coding
SRRM5	ENSG00000226763	chr19	Marmoset	stop_gained&frameshift_variant	protein_coding
ZNF234	ENSG00000263002	chr19	Marmoset	stop_gained&protein_altering_variant	protein_coding
ATF5	ENSG00000169136	chr19	Marmoset	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
ZNF749	ENSG00000186230	chr19	Marmoset	inframe_deletion	protein_coding
ZNF416	ENSG00000083817	chr19	Marmoset	stop_gained	protein_coding
ZNF418	ENSG00000196724	chr19	Marmoset	frameshift_variant	protein_coding
ZNF837	ENSG00000152475	chr19	Marmoset	inframe_deletion	protein_coding
ZNF837	ENSG00000152475	chr19	Marmoset	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
SH3YL1	ENSG00000035115	chr2	Marmoset	splice_acceptor_variant&5_prime_UTR_variant&intron_variant	protein_coding
ALLC	ENSG00000151360	chr2	Marmoset	stop_gained&frameshift_variant	protein_coding
LINC01304	ENSG00000237401	chr2	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
KCNS3	ENSG00000170745	chr2	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_transcript
AC106053.1	ENSG00000224626	chr2	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
SLC7A15P	ENSG00000232800	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	unitary_pseudogene
C2orf16	ENSG00000221843	chr2	Marmoset	inframe_deletion	protein_coding
SPAST	ENSG00000021574	chr2	Marmoset	stop_gained&frameshift_variant	protein_coding
AL133244.2	ENSG00000236854	chr2	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LTBP1	ENSG00000049323	chr2	Marmoset	stop_gained&protein_altering_variant	protein_coding
LINC01320	ENSG00000228262	chr2	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC00211	ENSG00000237803	chr2	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MAP4K3-DT	ENSG00000231312	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01118	ENSG00000222005	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC092650.1	ENSG00000230773	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
STON1-GTF2A1L	ENSG00000068781	chr2	Marmoset	splice_acceptor_variant&coding_sequence_variant&3_prime_UTR_variant&intron_variant	protein_coding
AC007402.1	ENSG00000231918	chr2	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
ACYP2	ENSG00000170634	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
B3GNT2	ENSG00000170340	chr2	Marmoset	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
LINC02831	ENSG00000224173	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
CNRIP1	ENSG00000119865	chr2	Marmoset	stop_lost&3_prime_UTR_variant	protein_coding
ARHGAP25	ENSG00000163219	chr2	Marmoset	splice_donor_variant&5_prime_UTR_variant&intron_variant&NMD_transcript_variant	nonsense_mediated_decay
STAMBP	ENSG00000124356	chr2	Marmoset	splice_acceptor_variant&3_prime_UTR_variant&intron_variant	protein_coding
AC007099.2	ENSG00000237293	chr2	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC005034.5	ENSG00000270996	chr2	Marmoset	transcript_ablation	lncRNA
AC012494.1	ENSG00000227088	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
REV1	ENSG00000135945	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
AC092168.3	ENSG00000286737	chr2	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC096554.1	ENSG00000228968	chr2	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
FHL2	ENSG00000115641	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
UXS1	ENSG00000115652	chr2	Marmoset	stop_gained&frameshift_variant	protein_coding
UXS1	ENSG00000115652	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
RN7SL468P	ENSG00000264833	chr2	Marmoset	transcript_ablation	misc_RNA
AC013474.2	ENSG00000288524	chr2	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MRPS18BP2	ENSG00000235232	chr2	Marmoset	transcript_ablation	processed_pseudogene
LINC01818	ENSG00000230645	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01876	ENSG00000226383	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
CYTIP	ENSG00000115165	chr2	Marmoset	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
AC005042.2	ENSG00000228586	chr2	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
CWC22	ENSG00000163510	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
PPP1R1C	ENSG00000150722	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_transcript
LINC01473	ENSG00000237877	chr2	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
LINC01090	ENSG00000231689	chr2	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC092598.1	ENSG00000223523	chr2	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
ANKAR	ENSG00000151687	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
AC097717.1	ENSG00000232732	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AC008269.1	ENSG00000229321	chr2	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
ACADL	ENSG00000115361	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
AC012462.2	ENSG00000228618	chr2	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
DIRC3	ENSG00000231672	chr2	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
HMGB1P9	ENSG00000224159	chr2	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	processed_pseudogene
LINC01907	ENSG00000226125	chr2	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
EFHD1	ENSG00000115468	chr2	Marmoset	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
MROH2A	ENSG00000185038	chr2	Marmoset	splice_donor_variant&5_prime_UTR_variant&intron_variant	protein_coding
MROH2A	ENSG00000185038	chr2	Marmoset	splice_acceptor_variant&splice_donor_variant&coding_sequence_variant&intron_variant	protein_coding
RBCK1	ENSG00000125826	chr20	Marmoset	stop_gained&frameshift_variant	protein_coding
AL050403.2	ENSG00000270792	chr20	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL135938.1	ENSG00000200494	chr20	Marmoset	transcript_ablation	misc_RNA
LINC01726	ENSG00000280350	chr20	Marmoset	splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
RBM12	ENSG00000244462	chr20	Marmoset	stop_gained&frameshift_variant	protein_coding
RBM12	ENSG00000244462	chr20	Marmoset	inframe_deletion	protein_coding
ZHX3	ENSG00000174306	chr20	Marmoset	splice_acceptor_variant&5_prime_UTR_variant&intron_variant	protein_coding
SEMG1	ENSG00000124233	chr20	Marmoset	inframe_deletion	protein_coding
WFDC8	ENSG00000158901	chr20	Marmoset	stop_gained&frameshift_variant	protein_coding
SPATA25	ENSG00000149634	chr20	Marmoset	inframe_deletion	protein_coding
LINC00494	ENSG00000235621	chr20	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
AL137078.2	ENSG00000274261	chr20	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
B4GALT5	ENSG00000158470	chr20	Marmoset	stop_lost&3_prime_UTR_variant	protein_coding
LINC01273	ENSG00000231742	chr20	Marmoset	splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
MIR646HG	ENSG00000228340	chr20	Marmoset	splice_acceptor_variant&splice_donor_variant&non_coding_transcript_exon_variant&intron_variant	lncRNA
